language,incl,done,category,id,species,area,nature,exotic,simp,script,term,script alt,term alt,IPA,status,ety,literal,meaning,remark,notes,first,ambiguous,source page,source,source link,conventionalized,dict page,dictionary,dict link,wiktionary,date,century,period,based on,att page,attested,att,att link,CQL,warning,historic,per m H,tenten,per m C,bdb,etymology,quote,historical corpus,analyzability,structure,element,borrowing,how,type,has prototype,is prototype,modifier tr,head tr,specifying word tr,modifier,headword,specifier,modifier type,sensory,headword type,similarity,mechanism,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,newspice,,,,alternative,,,,,"European inspiration, cf. Italian Nuova Spezie by 1680 in Baretti (1755); new spice, because it comes from the New World",,no,,peter_handbook_2012,https://www.google.com/search?q=%22new+spice%22&lr=lang_en&sxsrf=APq-WBvr9HFyMXy7dvyFG2ukubNoZ3kdpg%3A1650892931798&source=lnt&tbs=lr%3Alang_1en%2Ccdr%3A1%2Ccd_min%3A1%2F1%2F1500%2Ccd_max%3A12%2F31%2F1755&tbm=bks,,,,https://books.google.com.hk/books?id=VRWkAgAAQBAJ&pg=PA118&dq=%22newspice%22&hl=en&sa=X&ved=2ahUKEwjkx43npq_3AhX4mFYBHaslCmEQ6AF6BAgDEAI#v=onepage&q=%22newspice%22&f=false,,1708,18,,,,,,,,,,,9766,,,,[…] one Ounce of Ginger and new Spice together: Mix these all together […],,analyzable,compound,2,maybe,calque,modified,yes,,new,spice,,new,spice,,geographic origin,,function,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,spice; plant,yes,,,allspice,,,,default,done,,,,misleading name; many people think it's a mixture of various spices (spice blend),material,no,,van_wyk_culinary_2014,,yes,allspice,OED,https://www.oed.com/view/Entry/5494?,,1621,17,,OED,,,,,,,,,9766,,,"< all pron. and n. + spice n., so called because it has been supposed to combine the flavour and aroma of other commonly used spices, especially cinnamon, nutmeg, cloves, and black pepper.","R. Burton Anat. Melancholy ii. iv. i. iii. 440   Ambergreese, nutmegs, and all spice.",NA,analyzable,compound,2,no,,modified,yes,,all,spice,,all,spice,,similarity in taste,gustatory,function,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,clove pepper,,,,alias,,,,,cf. Hungarian,,no,,duke_crc_2002,,,,,,,,,,,,,,,,,,,26,,,,,,analyzable,compound,2,no,,modified,yes,,clove,pepper,,clove,pepper,,similarity in taste,gustatory,prototype similarity,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,Jamaica pepper,,,,alias,,,,,sometimes Jamaican pepper,,no,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/100688?redirectedFrom=jamaica+pepper#eid132604245,,1661,17,,,,,,,,,,,!121,,,,"E. Hickeringill Jamaica 12   A kind of Pepper, that tastes like Cloves, and very Aromatick (known by the name of Iamaica-Pepper).",,analyzable,compound,2,no,,modified,yes,,Jamaica,pepper,,Jamaica,pepper,,geographic origin,,prototype similarity,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,myrtle pepper,,,,alias,,,,,"physical resemblence, similar roles; Resembles the berries of the common myrtle shrub (Myrtus communis)",,no,,peter_handbook_2012,,,,,https://books.google.com.hk/books?id=VRWkAgAAQBAJ&pg=PA118&dq=%22newspice%22&hl=en&sa=X&ved=2ahUKEwjkx43npq_3AhX4mFYBHaslCmEQ6AF6BAgDEAI#v=onepage&q=%22newspice%22&f=false,,,,,,,,,,,,,,139,,,,,,analyzable,compound,2,no,,modified,yes,,myrtle,pepper,,myrtle,pepper,,similarity in botany and function,,prototype similarity,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,pimento berry,,,,alternative,,,,,,,no,,,,yes,,OED,https://www.oed.com/view/Entry/143999?redirectedFrom=pimento+berry#eid30217697,,1788,18,,,,,,,,,,,79,,,,"D. Monro Treat. Med. & Pharmaceut. Chym. III. 372   Take of pimento berries (Jamaica pepper), half a pound.",,analyzable,compound,2,no,,modified,yes,,,pimento,berry,,pimento,berry,plant part,,prototype,,innovation,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,pimento,,,,alternative,done,,,,now chiefly Caribbean; also sweet (esp. red) pepper,,yes,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/143999#eid30217266,,c1660,17,,,,,,,,,,,!10,,,,State of Jamaica f. 611   Piemente growes plentifully in Mountaines and is a Spice of the forme of East India pepper of very curious gust haveing in it the mixt tast of diuers spices.,,unanalyzable,simple,1,yes,phonetic,basic,no,,,pimento,,,pimento,,,,,,borrowing,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,allspice,allspice,Pimenta dioica,America,,,,,pimiento,,,,alternative,,,,,also sweet (esp. red) pepper,,yes,,,,yes,,OED,https://www.oed.com/view/Entry/144002#eid30219474,,1662,,,,,,,,,,,,!6886,,,,"H. Stubbe Indian Nectar 47   That most delicate of Spices, call'd usually in England Pepper of Jamaica... It is commonly called in Jamaica, Pimienta.",,unanalyzable,simple,1,yes,phonetic,basic,no,,,pimiento,,,pimiento,,,,,,borrowing,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,anise,anise,Pimpinella anisum,Mediterranean,spice,,,,aniseed,,,,alternative,,,,,contraction of anise + seed,,no,,van_wyk_culinary_2014,,yes,,OED,https://www.oed.com/view/Entry/7812?redirectedFrom=aniseed&,,a1398,14,,,,,,,aniseed,,,,"6,565",0.15,,,"J. Trevisa tr. Bartholomaeus Anglicus De Proprietatibus Rerum (BL Add. 27944) (1975) II. xvii. lxxxi. 972   Som grayn and seed is ygendred in pluntes wiþoute coddes, as it fareþ in anete seed.",,analyzable,compound,2,no,,modified,yes,,,anise,seed,,anise,seed,plant part,,prototype,,,,,,,,,,,,,,,,,,,,,,,,
English,yes,yes,anise,anise,Pimpinella anisum,Mediterranean,spice,,,,sweet cumin,,,,alias,,,,,,,no,,peter_handbook_2012,,yes,,OED,https://www.oed.com/view/Entry/45801?redirectedFrom=sweet+cumin#eid7748627,,,,,,,,,,,,,,,,,,,,analyzable,compound,2,no,,basic,yes,,sweet,cumin,,sweet,cumin,,taste,gustatory,prototype similarity,,,,,,,,,,,,,,,,,,,,,,,,
